ISBN,title,author,,,,,
1594,Programming Microsoft  .NET XML Web Services (Pro-Developer)," Damien Foggon,  Daniel Maharry,  Chris Ullman,  Karli Watson",,,,,
1829,Code Complete, Steve McConnell,,,,,
1743,Introducing ASP.NET 2.0, Dino Esposito,,,,,
1311,Inside Microsoft SQL Server 2005, Kalen Delaney,,,,,
1681,Programming INDIGO, David Pallmann,,,,,
1602,Programming Microsoft  ASP.NET 2.0 Applications, Dino Esposito,,,,,
1683,Programming Microsoft  ASP.NET 2.0 Applications, Dino Esposito,,,,,
1654,Inside Microsoft SQL Server 2005," Itzik Ben-gan,  Dejan Sarka,  Roger Wolter",,,,,
1693,Inside Microsoft SQL Server 2005," Itzik Ben-gan,  Dejan Sarka,  Roger Wolter",,,,,
1682,Programming Microsoft  ADO.NET 2.0 Core Reference, David Sceppa,,,,,
1589,MCTS Self-Paced Training Kit (Exam 70-536)," Tony Northrup,  Shawn Wildermuth,  Bill Ryan",,,,,
1720,Microsoft  Windows  Small Business Server 2003 R2 Administrator's Companion (Pro-Administrator's Companion)," Charlie Russel,  Sharon Crawford",,,,,
1753,Microsoft  Office SharePoint  Server 2007 Administrator's Companion," Bill English,  The Microsoft SharePoint Community Experts",,,,,
1657,Inside Microsoft SQL Server 2005," Itzik Ben-Gan,  Lubor Kollar,  Dejan Sarka",,,,,
1590,MCTS Self-Paced Training Kit (Exam 70-526)," Matthew A. Stoecker,  Steven J. Stein,  Tony Northrup",,,,,
1591,MCTS Self-Paced Training Kit (Exam 70-528): Microsoft  .NET Framework 2.0 Web-Based Client Development (Pro Certification)," Glenn Johnson,  Tony Northrup",,,,,
1618,MCPD Self-Paced Training Kit (Exam 70-547)," Mike Snell,  Bruce Johnson,  Brian C. Lanham,  Shawn Wildermuth,  Sara Morgan",,,,,
1286,Macromedia Flash MX 2004 Killer Tips, Shane Elliott,,,,,
1930,Conceptual blockbusting,James L. Adams,,,,,
1401,Successful Presentation Skills, Andrew J. Bradbury,,,,,
1416,Getting Things Done, David Allen,,,,,
1501,Meditations, Marcus Aurelius,,,,,
1663,NT Network Plumbing, Tony Northrup,,,,,
1647,Microsoft Outlook 2000 Programming Bible," Jeffrey A. Kent,  Davaid G. Jung",,,,,
1666,Professional ASP.NET 1.1," Alex Homer,  Dave Sussman,  Rob Howard,  Brian Francis,  Karli Watson,  Richard Anderson",,,,,
1289,Paint Shop Pro 9 for dummies, David C. Kay,,,,,
1603,ASP.NET 2.0 Website Programming, Marco Bellinaso,,,,,
1290,Photoshop CS2 Bible," Laurie Ulrich Fuller,  Deke McClelland",,,,,
1668,"Professional ASP.NET 2.0 security, membership, and role management", Stefan Schackow,,,,,
1639,Mastering Windows 2000 Server," Brian M. Smith,  Doug Toombs,  Mark Minasi",,,,,
1774,Mastering Windows Server 2003,Microsoft,,,,,
1608,C# Complete, Sybex,,,,,
1424,The IT Consultant ," Rick Freedman,  Rick Freeman",,,,,
1457,Clean code,Robert C. Martin,,,,,
