ISBN,title,author,,,,,
1382,JBoss AS 5 Development,Francessco Marchioni,,,,,
1383,Closing techniques (that really work!), Stephan Schiffman,,,,,
1387,Forming a Limited Company,Patricia clayton,,,,,
1388,Good to Great,Jim Collins,,,,,
1390,Managing Transitions,William Bridges ,,,,,
1391,Mindset - The New Psychology Of Success,Carol . Dweck,,,,,
1395,Presentation zen, Garr Reynolds,,,,,
1397,Running a limited company, David Impey,,,,,
1399,Slack, Tom Demarco,,,,,
1409,Version Control with Git,Jon Loeliger,,,,,
1412,50 Management Ideas You Really Need to Know,Edward Russell-Walling,,,,,
1415,Brilliant Project Management,"Stephen Barker, Rob Cole",,,,,
1418,How to lead, Jo Owen,,,,,
1422,The 5 Essential People Skills,Dale Carnegie,,,,,
1429,The project manager,Richard Newton,,,,,
1432,Execution:  The Discipline of Getting Things Done,"Larry Bossidy, Ram Charan",,,,,
1436,Computer Science - An Overview,J. Glenn Brookshear,,,,,
1441,Autotools, John Calcote,,,,,
1442,Languages and Compilers for Parallel Computing,"Utpal Banerjee, et.al",,,,,
1447,Service-Oriented Architechure,Thomas Erl,,,,,
1449,"Software Engineering, A Practitioner's Approach",Roger Pressman,,,,,
1451,"The Art of Computer Programming, volume 1, 2 and 3",Donald Knuth,,,,,
1452,The art of multiprocessor programming, Maurice Herlihy,,,,,
1454,Writing Secure Code,"Michael Howard, David LeBlanc",,,,,
1463,"Growing Object-Orientated Software, Guided by Tests","Steve Freeman, Nat Pryce",,,,,
1467,Introduction to Algorithms,"T Cormen, C Leiserson, R Rivest, C Stein",,,,,
1468,"Making Software, What Really Works and Why We Believe It","Andy Oram, Greg Wilson",,,,,
1469,Mercurial, Bryan O'Sullivan,,,,,
1476,The clean coder,Robert C. Martin,,,,,
1477,The passionate programmer, Chad Fowler,,,,,
1485,A first course in the numerical analysis of differential equations, A. Iserles,,,,,
1487,An Introduction to the Theory of Numbers,"G. Hardy, E. Wright",,,,,
1488,Frank Wood's business accounting 1, Frank Wood,,,,,
1489,Dubrovnik,Bradt,,,,,
1490,English Vocabulary in Use,Stuart Redman,,,,,
1507,Tales of the DeCongested,"Rebekah Lattin-Rawstrone, Paul Blaney",,,,,
1510,Why I Write,George Orwell,,,,,
1512,Software Testing:  An ISEB Intermediate Certificate,"Brian Hambling, Angelina Samaroo",,,,,
1516,Hello Android - Introducing Google's Mobile Development Platform,Ed Burnette,,,,,
1518,Unlocking Android, W. Frank Ableson,,,,,
1523,iPhone SDK development, Bill Dudney,,,,,
1524,Pro Android 2, Sayed Y. Hashimi,,,,,
1537,Sams teach yourself C in 21 days, Bradley L. Jones,,,,,
1538,Sams teach yourself C++ in one hour a day, Siddhartha Rao,,,,,
1539,The C++ Programming Language,Bjarne Stroustrup,,,,,
1549,"UNIX Network Programming, volume 2",W. Richard Stevens,,,,,
1558,Actionscript developer's guide to Robotlegs, Joel Hooks,,,,,
1560,Adobe Flex Training from the Source vol 1.,"Michael Labriola, Jeff Tapper, Matthew Boles",,,,,
1561,Eloquent Ruby,Russ Olsen,,,,,
1563,Grails in action, Glen Smith,,,,,
1569,Professional Xcode 3, James Bucanek,,,,,
1570,Programming in Objective-C 2.0,Stephen G. Kochan,,,,,
1572,Programming Perl, Tom Christiansen,,,,,
1573,Programming Ruby,Dave Thomas,,,,,
1575,Programming Amazon Web Services, James Murty,,,,,
1577,The Rails 3 way, Obie Fernandez,,,,,
1581,Zend Framework 1.8 Web Application Development,Keith Pope,,,,,
1587,Beginning Ruby, Peter Cooper,,,,,
1588,Programming in Scala, Martin Odersky,,,,,
1592,MCTS self-paced training kit (Exam 70-502), Matthew A. Stoecker,,,,,
1593,MCTS self-paced training kit (exam 70-562), Mike Snell,,,,,
1610,MCTS self-paced training kit (exam 70-680),Ian McLean,,,,,
1612,"Designing and developing ASP.NET applications using the Microsoft .NET Framework 3.5, exam 70-564",Microsoft Official Academic Course,,,,,
1626,Effective C♯, Bill Wagner,,,,,
1642,Architecting Microsoft  .NET solutions for the enterprise, Dino Esposito,,,,,
1643,.NET application architecture guide,Microsoft,,,,,
1659,Microsoft SQL Server 2008 step by step, Mike Hotek,,,,,
1661,Microsoft. NET Framework 3.5 - ASP.NET Application Development,"Mike Snell, Glenn Johnson, Tony Northrup, and GrandMasters",,,,,
1662,More effective C♯, Bill Wagner,,,,,
1665,Pro WF,Bruce Bukovics,,,,,
1673,Professional C# 4 and .Net 4, Christian Nagel,,,,,
1675,Microsoft SQL server 2008 reporting services step by step, Stacia Misner,,,,,
1676,Professional WCF 4 Windows Communication Foundation with  .NET 4,"Pablo Cibraro, Kurt Claeys, Fabio Cozzolino, Johann Grabner",,,,,
1677,Programming C#,Jesse Liberty,,,,,
1679,Programming Entity Framework,Julia Lerman,,,,,
1686,Programming Microsoft SQL Server 2008, Leonard Lobel,,,,,
1689,Sharepoint 2007 development recipes, Mark E. Gerow,,,,,
1690,Silverlight 1.0 unleashed, Adam Nathan,,,,,
1692,SQL Server 2005,William R. Stanek,,,,,
1695,Programming Microsoft SQL Server 2008, Leonard Lobel,,,,,
1696,SQL Server 2008 - Implementation and Maintenance - Training Kit,Mike Hotek,,,,,
1697,SQL Server 2008 Internals,Kalen Delaney,,,,,
1698,SQL Server 2008: T-SQL Querying,Itzik Ben-Gan,,,,,
1699,Mastering System center configuration manager 2007, Chris Mosby,,,,,
1701,Sams teach yourself ASP.NET 4 in 24 hours complete starter kit, Scott Mitchell,,,,,
1705,Thinking of - Delivering Solutions on the Windows Azure Platform - Ask the Smart Questions,"Dan Scarfe, Marcus Tillett, Stephen Parker",,,,,
1706,Thinking of - Maximising your Investment as a Microsoft Partner - Ask the Smart Questions,"Julie Simpson, Andy Trish",,,,,
1709,Visual Basic 2008, Rod Stephens,,,,,
1711,MCTS self-paced training kit (exam 70-515), Anthony Northrup,,,,,
1722,C# in Depth,Jon Skeet,,,,,
1724,Accessing Data with Microsoft .NET framework 4,Glenn Johnson,,,,,
1727,Applied WPF 4 in context, Raffaele Garofalo,,,,,
1729,ASP.NET 3.5 Unleashed,Stephen Walther,,,,,
1730,C# 4.0 in a Nutshell,"Joseph Albahari, Ben Albahari",,,,,
1733,C# 4.0 Pocket Reference,"Joseph Albahari, Ben Albahari",,,,,
1735,CLR via C#,Jeffrey Richter,,,,,
1740,Functional programming in C#, Oliver Sturm,,,,,
1741,How we test software at Microsoft, Alan Page,,,,,
1745,Learning C#,Jesse/ MacDonald Liberty,,,,,
1747,Microsoft SharePoint 2010 unleashed, Michael Noel,,,,,
1750,Nhibernate 3 Beginners Guide,"Dr. Gabriel Nicolas Schenker, Aaron Cure",,,,,
1752,NHibernate in action,"Pierre Kuate, Christian Bauer",,,,,
1754,Pro ASP.NET MVC 3 Framework,"Adam Freeman, Steven Sanderson",,,,,
1757,Pro C# 2010 and the .NET 4 platform, Andrew W. Troelsen,,,,,
1759,Pro WF Windows Workflow in .NET 4,Bruce Bukovics,,,,,
1760,Pro WPF in C# 2010,Matthew MacDonald,,,,,
1769,SharePoint Server 2010 Enterprise Content Management,"Todd Kitta, Brett Grego, Chris Caplinger, Russ Houberg",,,,,
1770,Silverlight 3 Programmer's Reference," J. Ambrose Little,  Jason Beres,  Grant Hinkson,  Devin Rader,  Joe Croney",,,,,
1775,WPF4 Unleashed, Adam Nathan,,,,,
1794,Sun Certified Programmer for Java 6 Study Guide,"Kathy Sierra, Bert Bates",,,,,
1795,Scala for the impatient, Cay S. Horstmann,,,,,
1796,The LEGO Mindstorms NXT 2.0 discovery book, Laurens Valk,,,,,
1807,Professional WCF 4 Windows Communication Foundation with .NET 4,"Pablo Cibraro, Kurt Claeys, Fabio Cozzolino, Johann Grabner",,,,,
1808,MCTS self-paced training kit (exam 70-503), Bruce Johnson,,,,,
1816,Coders at work, Peter Seibel,,,,,
1819,Getting to Yes - Negotiating an Agreement Without Giving in,"Roger Fisher, William Ury",,,,,
1821,Programming Entity Framework: Code First,"Julia Lerman, Rowan Miller",,,,,
1822,Programming Entity Framework: DbContext,"Julia Lerman, Rowan Miller",,,,,
1835,The definitive guide to Pylons, James Gardner,,,,,
1838,Test-driven iOS development, Graham Lee,,,,,
1839,Beginning Rails 3,"Cloves Carneiro Jr., Rida Al Barazi",,,,,
1851,Professional Android 4 application development, Reto Meier,,,,,
1860,SharePoint 2010 DEvelopment with Visual Studio 2010,"Carter, Scholl, & Jausovec",,,,,
1863,The Developer's Code - What Real Programmers Do,Ka Wai Cheung,,,,,
1864,Codermetrics,Jonathan Alexander,,,,,
1866,JavaScript Patterns,Stoyan Stefanov,,,,,
1877,Learning ActionScript 3.0,"Rich Shupe, Zevan Rosser",,,,,
1878,The Social Executive,Sharif Khalladi,,,,,
1879,Leading lean software development, Mary Poppendieck,,,,,
1884,Business analysis techniques, James Cadle,,,,,
1886,Professional Sitecore Development,John West,,,,,
1887,Effective C♯, Bill Wagner,,,,,
1906,Designing and Developing Web Applications Using Microsoft .NET Framework 4,Tony Northrup,,,,,
1907,Advanced Google AdWords, Brad Geddes,,,,,
1908,Google AdWords, Anastasia Holdren,,,,,
1909,The Ultimate Small Business Marketing Book,Dee Blick,,,,,
1924,Switch ,Chip and Dan Heath,,,,,
1926,Selling to Win,Richard Denny,,,,,
1927,Brilliant presentation,Richard Hall,,,,,
1933,Bounce ,Matthew Syed,,,,,
1936,Exploratory software testing, James A. Whittaker,,,,,
1967,Refactoring,Martin Fowler,,,,,
1968,Sams Teach Yourself Windows Server 2008,Joe Habraken,,,,,
1969,test,test,,,,,
1970,Service Design Patterns,Robert Daigneau,,,,,
1971,Enterprise SOA,"Dirk Krafzig, Karl Banke, Dirk Slama",,,,,
1972,SOA Patterns,Arnon Rotem-Gal-Oz,,,,,
1973,Perfect Software,Gerald M. Weinberg,,,,,
1974,It's Not Carpal Tunnel Syndrome,"Suparna Damany, MSPT & Jack Bellis",,,,,
1975,Play for Scala,"Peter Hilton, Erik Bakker, Francisco Canedo",,,,,
1976,Making It All Work,David Allen,,,,,
1977,Ready For Anything,David Allen,,,,,
1978,Vagrant: Up and Running,Mitchell Hashimoto,,,,,
1979,"Puppet 3 Cookbook, 2nd Edition",John Arundel,,,,,
1980,Spring Web Services 2 Cookbook,"Hamidreza Sattari, Shameer Kunjumohamed",,,,,
1981,Actors in Scala,"Philipp Haller, Frank Sommers",,,,,
1985,Testing in Scala,O'Reilly,,,,,
1987,Effective JAVA Script ,David Herman ,,,,,
1988,Read This Before Our Next Meeting ,Al Pittampalli,,,,,
1989,Software Estimation ,Steve McConnell ,,,,,
1990,PHP and MySql Everyday Apps for Dummies ,Janet Valade,,,,,
1991,F# for C# Developers ,Tao Liu,,,,,
1992,Facts and Fallacies of Software Engineering,Robert L Glass,,,,,
1994,Db Context,Julia Lerman and Rowan Miller,,,,,
1995,Configuring Advanced Windows Server 2012 R2 Services,J.C Mackin / Orin Thomas,,,,,
1996,The Solutions Focus,Paul Z Jackson / Mark McKergow,,,,,
1997,Being Geek,Michael Lopp,,,,,
1998,Managing Humans,Michael Lopp ,,,,,
1999,Clojure Programming ,"Chas Emerick, Brian Carper, Christophe Grand",,,,,
2000,FISH!,Stephen C Lundin Ph.D,,,,,
2001,Seven Languages in Seven Weeks,Bruce A. Tate,,,,,
2002,Java Concurrency in Practice,Brian Goetz,,,,,
2005,The Magic Book of Thinking,David J. Schwartz,,,,,
2006,To Sell Is Human,Daniel H. Pink,,,,,
2007,Business Model Generation,Alexander Osterwalder & Yves Pigneur,,,,,
2009,Learning Perl,Randal L Schwartz/Tom Phoenix,,,,,
2010,Intermediate Perl,Randal L Schwartz/Tom Phoenix,,,,,
2011,Galvanizing the Geeks,Zoe Cunningham,,,,,
2012,Developing ASP.NET MVC4 Web Applications (Exam Ref 70-486),William Penberthy,,,,,
2013,Programming in HTML5 with JavaScript and CSS3,Rick Delorme,,,,,
2014,Little Miss Geek,Belinda Parmar,,,,,
2015,Java Performance,Charlie Hunt and Binu John,,,,,
2016,Spring in Practice,Willie Wheeler with Joshua White,,,,,
2017,Pro Angular JS,Adam Freeman ,,,,,
2018,The Joy of Clojure ,Michael Fogus/Chris Houser,,,,,
2019,High Performance Websites,Steve Souders,,,,,
2020,The Art of Capacity Planning,John Allspaw,,,,,
2021,Building Scalable Web Sites,Cal Henderson,,,,,
2022,Scalable Internet Architectures,Theo Schlossnagle,,,,,
2023,Becoming a Technical Leader,Gerald M Weinberg,,,,,
2024,Computer Networking,"James F. Kurose, Keith W. Ross",,,,,
2025,xUnit Test Patterns,Gerard Meszaros,,,,,
2026,Apprenticeship Patterns,David H.Hoover & Adeale Oshineye,,,,,
2027,Understanding Crytography,Christof Paar/Jan Pelzl,,,,,
2028,The Signal and the Noise,Nate Silver,,,,,
2029,"Thinking, Fast and Slow",Daniel Kahneman,,,,,
2030,Lean Analytics,Eric Ries,,,,,
2031,SSH Mastery ,Michael W. Lucas,,,,,
2032,Bulletproof SSL and TLS,Ivan Ristic,,,,,
2033,Configuring Windows Server Virtualization,"Nelson Ruest, Danielle Ruest and Grandmasters",,,,,
2034,Networking and Network Access Protection (NAP),Joseph Davies and Tony Northrup with the Microsoft Networking Team,,,,,
2035,Building Microservices,Sam Newman,,,,,
2036,Getting Started with OAuth 2.0,Ryan Boyd,,,,,
2037,"Programming in C#, exam ref 70-483",Wouter de Kort,,,,,
2038,Pro C# 5.0 and the .NET 4.5 Framework,Andrew Troelsen,,,,,
2039,The art of looking sideways.,Alan Fletcher,,,,,
2040,Wireshark 101,Laura Chappell,,,,,
2041,Brilliant Communication Skills,Gill Hasson,,,,,
2042,Business Writing,Ian Atkinson,,,,,
2043,Professional ASP.NET MVC 5,"Jon Galloway, Brad Wilson, K. Scott Allen & David Matson",,,,,
2044,Essentials of Developing Windows Store App Using C#,Indrajit Chakrabarty,,,,,
2045,Programming in C#,Wouter de Kort,,,,,
2046,Debugging,David J. Agans,,,,,
2047,Developing Windows Azure and Web Services (Exam Ref 70-487),"William Ryan, Wouter de Kort & Shane Milton",,,,,
2048,Notes to a Software Team Leader,Roy Osherove,,,,,
2049,Talking with Tech Leads,Patrick Kua,,,,,
2050,Managing Successful Projects with PRINCE2,TSO,,,,,
2051,Smart Investing,Tim Hale,,,,,
2052,Playing Poker to Win,Andrea Shavick & Dan Shavick,,,,,
2053,Somebody Should Have Told Us!,Jack Pransky,,,,,
2054,Practical Vim,Drew Neil,,,,,
